ID,numax,dnu,teff,bp_rp,eps,d02,alpha,env_height,env_width,mode_width
KIC11135019,1.68758477711667,0.727541631451818,3.69609415999522,1.31155204772949,1.07808276011269,-0.13848858051842,-1.79191523209718,1.06024351896395,0.829475847067974,-1.0091744234192
KIC11135055,1.54792806652775,0.624644623559662,3.71130095991617,1.22925662994385,0.936676168049598,-0.203511955698822,-1.76213322742086,0.434762009972165,0.797459106066941,-0.955642380832997
KIC11135119,2.21698442464458,1.1270799191838,3.71708772492702,1.18089389801025,1.31203865008074,0.23853018194532,-2.0889575756897,1.09162507026872,1.27854878156702,-0.809322094802872
KIC11135168,1.65979804488962,0.676134978252786,3.70035752782266,1.23822784423828,0.978553669401327,-0.140005434817315,-1.87124068099015,0.692579859491481,0.865185062792394,-0.835263122480614
KIC11135286,1.56751024560661,0.604678322414394,3.67933703052079,1.36504364013672,0.733557116499359,-0.344542569892987,-1.61550656533818,0.622866415429712,0.776952802303554,-0.89148918381265
KIC11135574,1.46647670640554,0.619172052632246,3.71966268301805,1.16924285888672,0.800594781221349,-0.170376666157376,-1.07271591419068,0.423655284153013,0.649741727431113,-0.933262716469083
KIC11135683,1.52436724453619,0.553440808102449,3.70286117057293,1.25641059875488,0.959010906198887,-0.323890040555238,-1.86168035955959,0.91420608831457,0.680954227016828,-1.117607704047
KIC11135910,1.46933542731614,0.568146174281622,3.69187682255933,1.22793865203857,0.946553492261358,-0.26890855922352,-2.24387287094344,1.0826320309467,0.552687641512489,-1.18067322353519
KIC11136049,1.92497129103543,0.890741386983078,3.66247450375031,1.36431312561035,1.16175623236616,0.005676740660344,-1.90507109395629,1.23076300795359,1.04828340198025,-0.919530176343159
KIC11136139,1.57062562349434,0.630614290129996,3.67687643197314,1.30128955841064,1.01112635653234,-0.227621182223636,-1.69225527146988,1.07302502440804,0.763742322365827,-1.12271448304279
KIC11136282,1.38016416577471,0.540306963036244,3.69957759139891,1.22772312164307,0.859113194458946,-0.218321366670881,-1.57754083504498,0.361815501212975,0.658312378610831,-1.03007019578028
KIC11136338,1.40426246085438,0.554740115412761,3.67522825359306,1.23397636413574,0.701793963483387,-0.266407193420781,-1.02123417849843,0.471412040201663,0.615578518998225,-1.06255089580511
KIC11136578,1.95560498020237,0.914312669686836,3.6891311972345,1.26364421844482,1.17977311792339,0.028574338012689,-2.34655198983779,1.37853688118976,0.968370229148655,-0.986362118016001
KIC11136854,1.95942894684721,0.864430155604684,3.71733758272386,1.12506198883057,1.06013269451259,-0.108401285651144,-2.00238219872967,0.576327704288081,1.12544213595973,-0.622795247882779
KIC11136940,1.96493309327747,0.941718476759438,3.69346312721953,1.27150821685791,1.21379309226257,0.063884589037043,-2.14945241413525,0.77218676242747,0.985640569163841,-0.917078117663697
KIC11137116,2.31269663143725,1.21048674623977,3.71332250498703,1.22062492370606,1.32640921170614,0.330513304139718,-2.24304638970491,1.07490781392346,1.3237961899345,-0.809343646655056
KIC11137167,1.36466785674053,0.532084224006677,3.70893053580662,1.23836898803711,0.757852623375676,-0.262455597549707,-0.988327304743497,0.424404050288687,0.58681969539206,-1.10809843374487
KIC11137409,2.09549773032327,1.04173411895465,3.68511446904654,1.2212553024292,1.24069161230744,0.16453479524831,-2.20678416339588,1.13928445404545,1.07498993145529,-0.909291096559981
KIC11137464,1.49553663344816,0.59150803754485,3.70044410102775,1.2622013092041,0.967895185622273,-0.244744392306001,-2.05915840805003,1.02508932802547,0.617818883497971,-1.12530807415607
KIC11137495,1.34889436195789,0.490360129790704,3.70113606609253,1.31205463409424,0.860550126652467,-0.320720271593686,-1.76603837016281,0.411366484480872,0.644164021791279,-1.07845243435984
KIC11138101,2.84590060878562,1.63400814471293,3.79365071770717,0.707695007324219,1.39441068117999,0.566583488982619,-2.6538635772956,0.738629384957888,1.82329078046337,-0.151517447376326
KIC11138375,1.5319163072435,0.594971405745198,3.69670578093392,1.24804496765137,0.894192723396669,-0.19828612006626,-1.78792364389247,0.546336909908138,0.762943653395387,-0.954199320031382
KIC11139003,1.41191082131713,0.508946057884279,3.65176244738011,1.53234577178955,0.834757336846663,-0.324579758867981,-1.82923280771243,0.567074405752977,0.642529639982701,-1.07257229663911
KIC11139638,1.48292256623132,0.608160133981695,3.72073797701842,1.20583343505859,0.884517939427504,-0.166198182987242,-1.64840022592448,0.288756531946583,0.774952819522531,-0.876246773019194
KIC11139884,1.77999276420536,0.77377715483274,3.65915528094063,1.4573974609375,1.10579041402988,-0.129695158882579,-1.84625854412898,1.12939723763765,0.91846815917974,-0.95505631828857
KIC11140062,1.54348625970201,0.626659456203128,3.72123337001728,1.16786098480225,0.911643709762453,-0.174427517255091,-1.69799037607469,0.533326526450639,0.794805766192166,-0.963288767174385
KIC11140668,1.51596006458316,0.616211054115162,3.70389295363254,1.3071870803833,0.835174848049873,-0.1444207741723,-1.86256655105783,0.511035802479225,0.751049771537223,-0.935334977201296
KIC11140680,1.98843184844286,0.953757829142616,3.70774045427377,1.26686477661133,1.18274258980012,0.076246865070179,-1.95110852497051,1.22252438560353,1.07701215357756,-0.881191473400409
KIC11140831,1.5192747013015,0.601991637964798,3.69099303209987,1.20622158050537,0.646251240491857,-0.469733318233935,-2.0804231995577,0.802919739616369,0.838567470080275,-0.960726880831342
KIC11140834,1.74578029633272,0.748020201107747,3.67209785793572,1.32167434692383,1.09001659844671,-0.124923029541401,-2.26462395923477,1.12065326548075,0.827036718546934,-1.02821582051818
KIC11141028,1.5418832409204,0.615565945091961,3.69705489227257,1.34960079193115,0.919686563599916,-0.214156024833689,-1.64465583535001,0.552160998565801,0.813162764698164,-0.940030797505544
KIC11141358,1.45024923394501,0.563125444820625,3.69311111546214,1.2298583984375,0.739767323729743,-0.229371079576832,-2.32896363018377,0.576618084045863,0.603110772517057,-1.02362522054833
KIC11141428,1.47434866495538,0.602524391666548,3.70910028155117,1.25549697875977,0.847886548279085,-0.211585409160932,-1.69157880970476,0.30005614625671,0.745832879627258,-0.906481233904719
KIC11144005,1.73979499003028,0.768622055656327,3.70311934623608,1.27253246307373,1.08511607886166,-0.107068462502348,-1.82469987078133,1.09149198951964,0.845429388906905,-1.00914590424578
KIC11144018,2.14562192939206,1.07967552968056,3.7227161674885,1.15332508087158,1.24766578946183,0.196848759054282,-2.12584066987958,1.32079546419849,1.17490699167276,-0.863775819857242
