ID,bkg_numax,bkg_envWidth,bkg_envHeight,H1_power,H1_nu,H1_exp,H2_power,H2_nu,H2_exp
KIC10000108,1.7322961850529233,0.7457263747554064,3.5650022302775923,4.917733330965201,1.7504207020473443,4.640887320711994,5.019382709067213,1.2012559859293443,4.29193884273019
KIC10000198,2.0972255224596514,1.0688756747620338,2.7117125826749238,4.484835434800395,2.113479422947002,4.590477754205701,4.584431721180403,1.5491065171547582,4.357339482356153
KIC10000207,1.9786895717520043,0.9307706297364478,3.058394941710753,4.70327002723239,1.9875233236578975,4.931669895697877,4.770950041724481,1.3856594770484087,3.720302956433472
KIC10000547,2.2077286086840724,1.1005516924890877,2.513806510205673,4.50960638810882,2.228857177233143,3.071120120037704,4.358742053944982,1.6297782911785583,4.6845017614815685
KIC10000981,1.818643669133788,0.8544182237989767,3.334177870974753,4.836120183378398,1.80248191293949,4.250163425951506,4.916044826147605,1.2398575074946163,4.156601754907238
KIC10001167,1.2934804181326958,0.4400024046373427,4.301181802139773,5.464058077115719,1.2397318621696445,2.877037142346216,5.395494226076829,0.7636940201163367,2.994388054549812
KIC10001326,1.680244162595562,0.8106476869173074,3.547089256120074,4.980488840927794,1.6757580267245409,4.287760046764836,5.11870802655001,1.1174405230192337,3.836282826780519
KIC10001440,1.648629555833259,0.732810785227044,3.659480328054512,4.921220262305027,1.668607909979433,4.286780382593699,5.133793511111277,1.0771567295245026,3.2273351831477926
KIC10001796,1.5115956035486084,0.7133462807903861,3.7710691572980335,5.100292031361103,1.528696093732215,3.9961286724367118,5.21748971268309,1.0051953589962557,4.2812104791590695
KIC10001935,1.4974840713633024,0.7446666849914729,3.807391382880092,5.108007707285618,1.512128328566143,3.8279544266984846,5.30479008891251,1.052052096161197,4.6176794730393445
KIC10001994,2.277095999280151,1.2011414486564485,2.2166946442373057,4.216128011410971,2.276176883439496,4.066817397695219,4.260280498648975,1.691942085440168,3.6533244549784807
KIC10002385,1.491188514229468,0.719041944719826,3.901182705940145,5.268588228350059,1.4628256607573422,3.8701671665705044,5.379227850884631,0.9549004481434828,3.4651714824321935
KIC10002493,1.5465951874509665,0.7721519777346447,3.632492008220295,4.959706547605121,1.5715993492657756,4.170610012608449,5.1855726998696,1.0133874832624443,3.4387538244435887
KIC10002556,1.4682044544272876,0.7065982552394059,3.900337543214108,5.241478081873515,1.4986888889601635,4.111031271570576,5.400431881362715,1.0015321118050449,4.076686596481309
KIC10002647,1.5638702326689835,0.7826011364852906,3.564353098929705,4.889398630646757,1.596136151203351,3.9620958830567132,5.146367279998046,1.0409204101216252,3.9120184913182396
KIC10003039,2.325361915856402,1.1956316924690795,2.307708964351825,4.198560701649567,2.311443605644556,3.6099419461068245,4.2870797697448735,1.7449289371378924,3.694968960970359
KIC10003349,1.6923173917907106,0.7601719042524447,3.3662716104096995,4.8132215683227,1.715025176410024,4.513870919231541,5.149867405155085,1.1079602167552471,3.155370823948209
KIC10003419,1.5528343408390946,0.7804383819499259,3.6740540770405534,4.9941681408724525,1.561685922972032,4.010024524027028,5.245648573861239,1.0196292944005605,3.5698981396269778
KIC10003464,1.4814759404194038,0.6813711093945009,3.8375620881898014,5.163204198255389,1.501022891141965,3.972919074966301,5.241840709318605,1.0155500571211804,3.999011979487101
KIC10003497,1.434514926195444,0.6560954683374156,3.9081239991249945,5.166722163212727,1.472045866642247,4.253946588554546,5.359408997732858,0.9563114338264216,4.14483264439629
KIC10004825,1.7624892070461875,0.8893847841101656,3.1200977750545977,4.801566122463689,1.7899611258373622,4.682992216004905,4.962716454449692,1.2227260497262715,4.107571930105137
KIC10004991,1.5430100503004005,0.7734666013246683,3.785025640836608,5.073464619971363,1.5502409430727568,4.040537619993186,5.302482135419369,0.9980311026315588,3.1229656234731804
KIC10005422,1.436534141838104,0.6432355646374708,4.019361720819998,5.2960894791713855,1.4701309946552574,4.151430777090971,5.349506669456274,0.9310924070489034,3.7413468002026784
KIC10005428,2.3370446100424007,1.2547352187156429,2.158343738926352,4.123661492100002,2.312952426573519,3.8957400848231387,4.222910098128788,1.7520048242185426,4.158290255408901
KIC10005429,1.6105863475409228,0.7956335836345658,3.4481303771022485,4.979275881601926,1.5896892467107342,4.148240365482976,5.044732370207569,1.05127654581628,3.703422998563612
KIC10005502,1.619095350683221,0.7495795847452472,3.3496366940911044,4.812643588936242,1.616060062147946,4.033474051265007,4.957430697243433,1.0687368228363825,3.506640272446946
KIC10005966,1.4942637213110557,0.7701488669068327,3.7825277093742016,5.313512052573636,1.4963936023652755,4.245054333639529,5.383609407578749,0.9922109511725242,3.7671010283303357
KIC10006097,2.1520802708647437,1.0401348931346526,2.7036701920898323,4.490860083614231,2.1783152446089877,4.711865297537222,4.5684072465610095,1.5825167824124131,4.047020568309104
KIC10006158,1.491759986556913,0.7437177907085825,3.885415610033804,5.182291878512443,1.543780054266124,4.301142343310195,5.42170492519555,1.013516648471764,4.181409658583359
KIC10006244,1.6619089801053102,0.8352631175142691,3.7212963868710167,5.014497033057454,1.6927711850313572,4.221799091587498,5.211392364051324,1.1424790990592293,3.938871164885692
KIC10006548,1.4483184228602874,0.6818857190408701,4.065595441864885,5.325340726295588,1.4236462425976404,3.822404341327376,5.313576841230871,0.9290941076823768,3.7122138858864298
KIC10006797,1.5725855101903263,0.8004088399315871,3.642985629152749,4.967352518082782,1.611085999645296,4.245108922712443,5.2123651447310255,1.0530740003318702,3.539609186045448
KIC10006828,1.3187241532274527,0.4398649268537561,4.353151861248302,5.436003168060061,1.308686933072015,4.046538689346148,5.476240860296016,0.7892764745103924,4.1456059348662375
KIC10006852,1.8861719965210404,1.1000199294942925,2.670378777599109,4.176496118075787,1.9037839488290031,3.9120112567422956,4.615479610406065,1.335515328488543,2.7708368958471175
KIC10007150,1.539774970326513,0.7657387639806699,3.7473501641883673,5.081292744773792,1.5411566547613325,3.906020958711659,5.199726581019856,1.0144614438885995,4.0509757675780005
KIC10007364,1.5204129749437547,0.7884495543458343,3.9018616385477607,5.127761186345028,1.5697439586397397,4.22787954516084,5.415133447189255,1.022777381912539,3.8701575919905338
KIC10007644,1.9040537282748973,0.8772456532120705,3.125375621312233,4.738685436684856,1.900403438822741,4.78048062532789,4.794997459960957,1.3688775687735304,4.488245075838833
KIC10010358,1.6400328379524467,0.7970596725714396,3.416812749310155,4.8274472793145575,1.6658453241086164,4.3253066493969285,5.034893730875332,1.122437878106037,3.8395210718041723
KIC10010483,1.5616788303976332,0.7916095114107708,3.6171453844678942,5.040104839856769,1.5653537208342063,4.0172345362601005,5.1804299496928365,1.0496613719625076,3.8964564771035337
KIC10010946,1.6328367588359007,0.7607447160330781,3.6264007105640954,4.867950755360778,1.659985530806156,4.2591971549076275,5.147446763061796,1.068243064352898,3.24735987734803
KIC10010983,1.410219059116193,0.6242273710419624,4.211952485499106,5.273473505809776,1.4379424287047071,3.9715206497759405,5.565259007732959,0.9139726096493604,4.463768428120222
KIC10011212,1.5740977093875168,0.8186304496610161,3.610516039103081,4.978338360150674,1.6180021326029834,4.218622544310716,5.181450599621879,1.0387277665316643,4.372409201320046
KIC10011329,1.546958178060297,0.7515040867501502,3.5219821863173872,4.905217700497867,1.567194906647549,4.1752804551964955,5.112285725905348,1.0368756529047445,3.709007261687276
KIC10014893,1.4194588602014553,0.5727155969367365,3.986191726224589,5.205789716657966,1.4277965775338637,4.230899585732821,5.28290736283679,0.8778718084684456,3.882343980952736
KIC10014914,1.640390682201629,0.8039782777389846,3.4296590763570607,4.781438502339121,1.6484315706618982,3.9720508448707457,5.058467072239265,1.109754061824849,3.1730175713914783
KIC10015663,1.6062269525761623,0.8345023880750081,3.4849587700448894,4.810045204642448,1.6155245078181286,3.8363852638967635,5.101768159826359,1.1065112455039523,3.620447180593691
KIC10015821,1.5616747700096345,0.7564640692349114,3.6288207680574174,4.966246341506924,1.5690741323351975,4.026054288409222,5.166306174277926,1.0709252500736024,3.4961475591645343
